ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
403,Nosema destructor,Protozoa,Microspora,Microsporea (Microsporida),Phthorimaea operculella,Lepidoptera,Gelechiidae,,Larva: hemolymph; Malpighian tubules; midgut; silk glands; muscle,Lab,"USA, Japan",,,,,,7164,,
404,Nosema disstriae,Protozoa,Microspora,Microsporea (Microsporida),Malacosoma disstria,Lepidoptera,Lasiocampidae,Larva,Midgut; silk glands; Malpighian tubules; fat body; tracheae; epidermis,Field,Canada,,,,,,7164,,Nearctic
405,Nosema ephialtis,Protozoa,Microspora,Microsporea (Microsporida),Cadra angulosa,Lepidoptera,Pyralidae,,,,Brazil,,,,,,7164,,
406,Nosema erippi,Protozoa,Microspora,Microsporea (Microsporida),Danaus erippus,Lepidoptera,Danaidae,,,,Brazil,,,,,,7164,,
407,Nosema eubules,Protozoa,Microspora,Microsporea (Microsporida),Catopsilia eubule,Lepidoptera,Pieridae,,,,,,,,,,7164,,
408,Nosema erippi,Protozoa,Microspora,Microsporea (Microsporida),Danaus gilippus,Lepidoptera,Danaidae,,,,Brazil,,,,,,7164,,
409,Nosema fumiferanae,Protozoa,Microspora,Microsporea (Microsporida),Choristoneura fumiferana,Lepidoptera,Tortricidae,AdultLarvaEggPupa,Midgut; fat body; silk glands; gonads; hindgut; epidermis; nerve tissue,Field,"Canada, USA",,,,,,7164,,Nearctic
410,Nosema fumiferanae,Protozoa,Microspora,Microsporea (Microsporida),Choristoneura pinus,Lepidoptera,Tortricidae,,"Midgut, fat body",Lab,Canada,,,,,,7164,,
411,Nosema gasti,Protozoa,Microspora,Microsporea (Microsporida),Anthonomus grandis,Coleoptera,Curculionidae,,Midgut,Lab,USA; Mexico,,,,,,7164,,
412,Nosema gasti,Protozoa,Microspora,Microsporea (Microsporida),Bracon mellitor,Hymenoptera,Braconidae,,,Lab,USA,,,,,,7164,,
413,Nosema gibbsi,Protozoa,Microspora,Microsporea (Microsporida),Gonocephalum hoffmannseggi,Coleoptera,Tenebrionidae,,fat body,,South Africa,,,,,,7164,,
414,Nosema halesidotidis,Protozoa,Microspora,Microsporea (Microsporida),Halesidotis sp.,,,Larva,,Field,Brazil,,,,,,7164,,Neotropical
415,Nosema heliothidis,Protozoa,Microspora,Microsporea (Microsporida),Helicoverpa armigera,Lepidoptera,Noctuidae,Larva,Midgut,Field,"Brazil, USA, Japan",,,,,,7164,,NearcticNeotropicalPalearctic
416,Nosema heliothidis,Protozoa,Microspora,Microsporea (Microsporida),Heliothis virescens,Lepidoptera,Noctuidae,,Gut; Malpighian tubules; fat body; general infection,,Brazil; USA,,,,,,7164,,
417,Nosema heliothidis,Protozoa,Microspora,Microsporea (Microsporida),Campoletis perdistinctus  ,Hymenoptera,Ichneumonidae,,Midgut,,USA,,,,,,7164,,
418,Vairimorpha heterosporum,Protozoa,Microspora,Microsporea (Microsporida),Plodia interpunctella ,Lepidoptera,Pyralidae,EggLarvaPupaAdult,"Midgut; fat body;  salivary glands, silk glands; muscle",Field,"USA, Czechoslovakia",,,,,,7164,,NearcticPalearctic
419,Nosema hippodamiae,Protozoa,Microspora,Microsporea (Microsporida),Hippodamia convergens,Coleoptera,Coccinellidae,,Midgut; fat body,,USA,,,,,,7164,,
420,Nosema hydraeciae,Protozoa,Microspora,Microsporea (Microsporida),Hydraecia micacea,Lepidoptera,Noctuidae,,,,USSR,,,,,,7164,,
421,Nosema hydriae,Protozoa,Microspora,Microsporea (Microsporida),Hydria sp.,Lepidoptera,Geometridae,,,,Brazil,,,,,,7164,,
422,Nosema hydriae,Protozoa,Microspora,Microsporea (Microsporida),Dione juno,Lepidoptera,Nymphalidae,,,,Brazil,,,,,,7164,,
423,Nosema hyperae,Protozoa,Microspora,Microsporea (Microsporida),Hypera postica,Coleoptera,Curculionidae,,Larva: Malpighian tubules; fat body; tracheal cells; nerve cord (abdominal); Adults: gonads,,USA,,,,,,7164,,
424,Nosema infesta,Protozoa,Microspora,Microsporea (Microsporida),Tehama bonifatella,Lepidoptera,Pyralidae,,fat body,,USA,,,,,,7164,,
425,Nosema infesta,Protozoa,Microspora,Microsporea (Microsporida),Hylephila phyleus,Lepidoptera,Hesperiidae,,fat body,,USA,,,,,,7164,,
426,Nosema invadens,Protozoa,Microspora,Microsporea (Microsporida),Cadra figulilella,Lepidoptera,Pyralidae,,Midgut; Malpighian tubules,,USA,,,,,,7164,,
427,Nosema invadens,Protozoa,Microspora,Microsporea (Microsporida),Cadra cautella,Lepidoptera,Pyralidae,,Midgut; Malpighian tubules,,USA,,,,,,7164,,
428,Nosema junonis,Protozoa,Microspora,Microsporea (Microsporida),Dione juno,Lepidoptera,Nymphalidae,,,,Brazil,,,,,,7164,,
429,Nosema kingii,Protozoa,Microspora,Microsporea (Microsporida),Drosophila willistoni,Diptera,Drosophilidae,,fat body,,USA,,,,,,7164,,
430,Nosema kovacevici,Protozoa,Microspora,Microsporea (Microsporida),Euproctis chrysorrhoea,Lepidoptera,Lymantriidae,,,,Yugoslavia,,,,,,7164,,
431,Nosema laphygmae,Protozoa,Microspora,Microsporea (Microsporida),Spodoptera frugiperda,Lepidoptera,Noctuidae,,fat body,,Venezuela,,,,,,7164,,
432,Nosema leptinotarsae,Protozoa,Microspora,Microsporea (Microsporida),Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,,Blood (hemolymph),,USSR,,,,,,7164,,
433,Nosema lepturae,Protozoa,Microspora,Microsporea (Microsporida),Leptura rubra,Coleoptera,Cerambycidae,Adult,fat body; midgut; trachael matrix,Field,Poland,,,,,,7164,,Palearctic
434,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Locusta migratoria,Orthoptera,Acrididae,,Fat body,Field,"UK, Japan",,,,,,7164,,Palearctic
