ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
435,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus bivittatus,Orthoptera,Acrididae,,Fat body,Field,USA,,,,,,7164,,Nearctic
436,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus sanguinipes sanguinipes,Orthoptera,Acrididae,,Fat body,Field,"USA, Canada",,,,,,7164,,Nearctic
437,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Dissosteira carolina,Orthoptera,Acrididae,,Fat body,Field,USA,,,,,,7164,,Nearctic
438,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Schistocerca gregaria,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
439,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Chorthippus albomarginatus,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
441,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus gladstoni,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
442,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus infantilis,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
443,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Melanoplus packardi,Orthoptera,Acrididae,Nymph,Fat body,Field,Canada,,,,,,7164,,Nearctic
444,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Phoetaliotes nebrascensis,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
445,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Opeia obscura,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
446,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Amphitornus coloradus,Orthoptera,Acrididae,,Fat body,Field,USA,,,,,,7164,,Nearctic
447,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Ageneotettix deorum,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
448,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Phlibostroma quadrimaculatum,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
449,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Trachyrhachys kiowa,Orthoptera,Acrididae,,Fat body,Field,,,,,,,7164,,
450,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Arphia pseudonietana ,Orthoptera,Acrididae,,Fat body,Field,USA,,,,,,7164,,Nearctic
451,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Encoptolophus costalis,Orthoptera,Acrididae,,Fat body,Lab,,,,,,,7164,,
452,Nosema locustae,Protozoa,Microspora,Microsporea (Microsporida),Spharagemon campestris,Orthoptera,Acrididae,,Fat body,Field,UK,,,,,,7164,,Palearctic
